code_set	concept_code	concept_name	concept_id	vocabulary_id	domain_id
bipolar_c_icd_01_base	F30.10	"Manic episode without psychotic symptoms, unspecified"	45542838	ICD10CM	Condition
bipolar_c_icd_01_base	F30.11	"Manic episode without psychotic symptoms, mild"	45595901	ICD10CM	Condition
bipolar_c_icd_01_base	F30.12	"Manic episode without psychotic symptoms, moderate"	45586235	ICD10CM	Condition
bipolar_c_icd_01_base	F30.13	"Manic episode, severe, without psychotic symptoms"	45581455	ICD10CM	Condition
bipolar_c_icd_01_base	F30.2	"Manic episode, severe with psychotic symptoms"	35207142	ICD10CM	Condition
bipolar_c_icd_01_base	F30.3	Manic episode in partial remission	45542839	ICD10CM	Condition
bipolar_c_icd_01_base	F30.4	Manic episode in full remission	45557200	ICD10CM	Condition
bipolar_c_icd_01_base	F30.8	Other manic episodes	35207143	ICD10CM	Condition
bipolar_c_icd_01_base	F30.9	"Manic episode, unspecified"	35207144	ICD10CM	Condition
bipolar_c_icd_01_base	F31.0	"Bipolar disorder, current episode hypomanic"	35207145	ICD10CM	Condition
bipolar_c_icd_01_base	F31.10	"Bipolar disorder, current episode manic without psychotic features, unspecified"	45552477	ICD10CM	Condition
bipolar_c_icd_01_base	F31.11	"Bipolar disorder, current episode manic without psychotic features, mild"	45591134	ICD10CM	Condition
bipolar_c_icd_01_base	F31.12	"Bipolar disorder, current episode manic without psychotic features, moderate"	45571753	ICD10CM	Condition
bipolar_c_icd_01_base	F31.13	"Bipolar disorder, current episode manic without psychotic features, severe"	45538061	ICD10CM	Condition
bipolar_c_icd_01_base	F31.2	"Bipolar disorder, current episode manic severe with psychotic features"	35207146	ICD10CM	Condition
bipolar_c_icd_01_base	F31.30	"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"	45571756	ICD10CM	Condition
bipolar_c_icd_01_base	F31.31	"Bipolar disorder, current episode depressed, mild"	45566839	ICD10CM	Condition
bipolar_c_icd_01_base	F31.32	"Bipolar disorder, current episode depressed, moderate"	45538062	ICD10CM	Condition
bipolar_c_icd_01_base	F31.4	"Bipolar disorder, current episode depressed, severe, without psychotic features"	35207147	ICD10CM	Condition
bipolar_c_icd_01_base	F31.5	"Bipolar disorder, current episode depressed, severe, with psychotic features"	35207148	ICD10CM	Condition
bipolar_c_icd_01_base	F31.60	"Bipolar disorder, current episode mixed, unspecified"	45576538	ICD10CM	Condition
bipolar_c_icd_01_base	F31.61	"Bipolar disorder, current episode mixed, mild"	45542841	ICD10CM	Condition
bipolar_c_icd_01_base	F31.62	"Bipolar disorder, current episode mixed, moderate"	45591135	ICD10CM	Condition
bipolar_c_icd_01_base	F31.63	"Bipolar disorder, current episode mixed, severe, without psychotic features"	45576539	ICD10CM	Condition
bipolar_c_icd_01_base	F31.64	"Bipolar disorder, current episode mixed, severe, with psychotic features"	45547703	ICD10CM	Condition
bipolar_c_icd_01_base	F31.70	"Bipolar disorder, currently in remission, most recent episode unspecified"	45566840	ICD10CM	Condition
