code_set	concept_code	concept_name	concept_id	vocabulary_id
advanced_illness_01	A81.01	Variant Creutzfeldt-Jakob disease	45590832	ICD10CM
advanced_illness_01	C25.0	Malignant neoplasm of head of pancreas	35206158	ICD10CM
advanced_illness_01	C25.2	Malignant neoplasm of tail of pancreas	35206160	ICD10CM
advanced_illness_01	C25.4	Malignant neoplasm of endocrine pancreas	35206162	ICD10CM
advanced_illness_01	C25.8	Malignant neoplasm of overlapping sites of pancreas	35206164	ICD10CM
advanced_illness_01	C71.0	"Malignant neoplasm of cerebrum, except lobes and ventricles"	35206291	ICD10CM
advanced_illness_01	C71.2	Malignant neoplasm of temporal lobe	35206293	ICD10CM
advanced_illness_01	C71.4	Malignant neoplasm of occipital lobe	35206295	ICD10CM
advanced_illness_01	C71.6	Malignant neoplasm of cerebellum	35206297	ICD10CM
advanced_illness_01	C71.8	Malignant neoplasm of overlapping sites of brain	35206299	ICD10CM
advanced_illness_01	C77.0	"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck"	35206319	ICD10CM
advanced_illness_01	C77.2	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes	35206321	ICD10CM
advanced_illness_01	C77.4	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes	35206323	ICD10CM
advanced_illness_01	C77.8	Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions	35206325	ICD10CM
advanced_illness_01	C78.01	Secondary malignant neoplasm of right lung	45537840	ICD10CM
advanced_illness_01	C78.1	Secondary malignant neoplasm of mediastinum	35206327	ICD10CM
advanced_illness_01	C78.30	Secondary malignant neoplasm of unspecified respiratory organ	45542628	ICD10CM
advanced_illness_01	C78.4	Secondary malignant neoplasm of small intestine	35206329	ICD10CM
advanced_illness_01	C78.6	Secondary malignant neoplasm of retroperitoneum and peritoneum	35206331	ICD10CM
advanced_illness_01	C78.80	Secondary malignant neoplasm of unspecified digestive organ	45605288	ICD10CM
advanced_illness_01	C79.00	Secondary malignant neoplasm of unspecified kidney and renal pelvis	45576341	ICD10CM
advanced_illness_01	C79.02	Secondary malignant neoplasm of left kidney and renal pelvis	45600526	ICD10CM
advanced_illness_01	C79.11	Secondary malignant neoplasm of bladder	45600527	ICD10CM
advanced_illness_01	C79.2	Secondary malignant neoplasm of skin	35206333	ICD10CM
advanced_illness_01	C79.32	Secondary malignant neoplasm of cerebral meninges	45537843	ICD10CM
advanced_illness_01	C79.49	Secondary malignant neoplasm of other parts of nervous system	45532937	ICD10CM
advanced_illness_01	C79.52	Secondary malignant neoplasm of bone marrow	45552286	ICD10CM
advanced_illness_01	C79.61	Secondary malignant neoplasm of right ovary	45542629	ICD10CM
advanced_illness_01	C79.63	Secondary malignant neoplasm of bilateral ovaries	766340	ICD10CM
advanced_illness_01	C79.71	Secondary malignant neoplasm of right adrenal gland	45576343	ICD10CM
advanced_illness_01	C79.81	Secondary malignant neoplasm of breast	45542630	ICD10CM
advanced_illness_01	C79.89	Secondary malignant neoplasm of other specified sites	45532939	ICD10CM
advanced_illness_01	C91.00	Acute lymphoblastic leukemia not having achieved remission	45557039	ICD10CM
advanced_illness_01	C92.00	"Acute myeloblastic leukemia, not having achieved remission"	45547554	ICD10CM
advanced_illness_01	C93.00	"Acute monoblastic/monocytic leukemia, not having achieved remission"	45581257	ICD10CM
advanced_illness_01	C93.90	"Monocytic leukemia, unspecified, not having achieved remission"	45600569	ICD10CM
advanced_illness_01	C93.Z0	"Other monocytic leukemia, not having achieved remission"	45605334	ICD10CM
advanced_illness_01	C93.Z2	"Other monocytic leukemia, in relapse"	45581259	ICD10CM
advanced_illness_01	C94.32	"Mast cell leukemia, in relapse"	45532964	ICD10CM
advanced_illness_01	F01.511	"Vascular dementia, unspecified severity, with agitation"	37402371	ICD10CM
advanced_illness_01	F01.52	"Vascular dementia, unspecified severity, with psychotic disturbance"	37402373	ICD10CM
advanced_illness_01	F01.54	"Vascular dementia, unspecified severity, with anxiety"	37402375	ICD10CM
advanced_illness_01	F01.A11	"Vascular dementia, mild, with agitation"	37402379	ICD10CM
advanced_illness_01	F01.A2	"Vascular dementia, mild, with psychotic disturbance"	37402381	ICD10CM
advanced_illness_01	F01.A4	"Vascular dementia, mild, with anxiety"	37402383	ICD10CM
advanced_illness_01	F01.B11	"Vascular dementia, moderate, with agitation"	37402387	ICD10CM
advanced_illness_01	F01.B2	"Vascular dementia, moderate, with psychotic disturbance"	37402389	ICD10CM
advanced_illness_01	F01.C0	"Vascular dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"	37402393	ICD10CM
advanced_illness_01	F01.C18	"Vascular dementia, severe, with other behavioral disturbance"	37402396	ICD10CM
advanced_illness_01	F01.C3	"Vascular dementia, severe, with mood disturbance"	37402398	ICD10CM
advanced_illness_01	F02.80	"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"	45591076	ICD10CM
advanced_illness_01	F02.818	"Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance"	37402401	ICD10CM
advanced_illness_01	F02.83	"Dementia in other diseases classified elsewhere, unspecified severity, with mood disturbance"	37402403	ICD10CM
advanced_illness_01	F02.A0	"Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"	37402406	ICD10CM
