code_set	concept_code	concept_name	concept_id	vocabulary_id	domain_id
diabetes_01_base	E11.3211	"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"	37200198	ICD10CM	Condition
diabetes_01_base	E11.3212	"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye"	37200199	ICD10CM	Condition
diabetes_01_base	E11.3213	"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral"	37200200	ICD10CM	Condition
diabetes_01_base	E11.3219	"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"	37200201	ICD10CM	Condition
diabetes_01_base	E11.3291	"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye"	37200202	ICD10CM	Condition
diabetes_01_base	E11.3292	"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye"	37200203	ICD10CM	Condition
diabetes_01_base	E11.3293	"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral"	37200204	ICD10CM	Condition
diabetes_01_base	E11.3299	"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"	37200205	ICD10CM	Condition
diabetes_01_base	E11.3311	"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye"	37200206	ICD10CM	Condition
diabetes_01_base	E11.3312	"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye"	37200207	ICD10CM	Condition
diabetes_01_base	E11.3313	"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"	37200208	ICD10CM	Condition
diabetes_01_base	E11.3319	"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"	37200209	ICD10CM	Condition
diabetes_01_base	E11.3391	"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye"	37200210	ICD10CM	Condition
diabetes_01_base	E11.3392	"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"	37200211	ICD10CM	Condition
diabetes_01_base	E11.3393	"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"	37200212	ICD10CM	Condition
diabetes_01_base	E11.3399	"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"	37200213	ICD10CM	Condition
diabetes_01_base	E11.3411	"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye"	37200214	ICD10CM	Condition
diabetes_01_base	E11.3412	"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye"	37200215	ICD10CM	Condition
diabetes_01_base	E11.3413	"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral"	37200216	ICD10CM	Condition
diabetes_01_base	E11.3419	"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"	37200217	ICD10CM	Condition
diabetes_01_base	E11.3491	"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye"	37200218	ICD10CM	Condition
diabetes_01_base	E11.3492	"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye"	37200219	ICD10CM	Condition
diabetes_01_base	E11.3493	"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral"	37200220	ICD10CM	Condition
diabetes_01_base	E11.3499	"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye"	37200221	ICD10CM	Condition
diabetes_01_base	E11.3511	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye"	37200222	ICD10CM	Condition
diabetes_01_base	E11.3512	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye"	37200223	ICD10CM	Condition
diabetes_01_base	E11.3513	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"	37200224	ICD10CM	Condition
diabetes_01_base	E11.3519	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"	37200225	ICD10CM	Condition
diabetes_01_base	E11.3521	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"	37200227	ICD10CM	Condition
diabetes_01_base	E11.3522	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"	37200228	ICD10CM	Condition
diabetes_01_base	E11.3523	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"	37200229	ICD10CM	Condition
diabetes_01_base	E11.3529	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"	37200230	ICD10CM	Condition
diabetes_01_base	E11.3531	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"	37200232	ICD10CM	Condition
diabetes_01_base	E11.3532	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"	37200233	ICD10CM	Condition
diabetes_01_base	E11.3533	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"	37200234	ICD10CM	Condition
diabetes_01_base	E11.3539	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"	37200235	ICD10CM	Condition
diabetes_01_base	E11.3541	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"	37200237	ICD10CM	Condition
diabetes_01_base	E11.3542	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"	37200238	ICD10CM	Condition
diabetes_01_base	E11.3543	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"	37200239	ICD10CM	Condition
diabetes_01_base	E11.3549	"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"	37200240	ICD10CM	Condition
diabetes_01_base	E11.3551	"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye"	37200242	ICD10CM	Condition
diabetes_01_base	E11.3552	"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye"	37200243	ICD10CM	Condition
diabetes_01_base	E11.3553	"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral"	37200244	ICD10CM	Condition
diabetes_01_base	E11.3559	"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye"	37200245	ICD10CM	Condition
diabetes_01_base	E11.3591	"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye"	37200246	ICD10CM	Condition
diabetes_01_base	E11.3592	"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye"	37200247	ICD10CM	Condition
diabetes_01_base	E11.3593	"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"	37200248	ICD10CM	Condition
diabetes_01_base	E13.3312	"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye"	37200264	ICD10CM	Condition
diabetes_01_base	E13.3313	"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"	37200265	ICD10CM	Condition
diabetes_01_base	E13.3319	"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"	37200266	ICD10CM	Condition
diabetes_01_base	E13.3391	"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye"	37200267	ICD10CM	Condition
diabetes_01_base	E13.3392	"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"	37200268	ICD10CM	Condition
diabetes_01_base	E13.3393	"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"	37200269	ICD10CM	Condition
diabetes_01_base	E13.3399	"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"	37200270	ICD10CM	Condition
diabetes_01_base	E13.3411	"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye"	37200271	ICD10CM	Condition
diabetes_01_base	E13.3412	"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye"	37200272	ICD10CM	Condition
diabetes_01_base	E13.3413	"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral"	37200273	ICD10CM	Condition
diabetes_01_base	E13.3419	"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"	37200274	ICD10CM	Condition
diabetes_01_base	E13.3491	"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye"	37200275	ICD10CM	Condition
diabetes_01_base	E13.3492	"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye"	37200276	ICD10CM	Condition
diabetes_01_base	E13.3493	"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral"	37200277	ICD10CM	Condition
diabetes_01_base	E13.3499	"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye"	37200278	ICD10CM	Condition
diabetes_01_base	E13.3511	"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye"	37200279	ICD10CM	Condition
diabetes_01_base	E13.3512	"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye"	37200280	ICD10CM	Condition
diabetes_01_base	E13.3513	"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"	37200281	ICD10CM	Condition
diabetes_01_base	E13.3519	"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"	37200282	ICD10CM	Condition
diabetes_01_base	E13.3521	"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"	37200284	ICD10CM	Condition
diabetes_01_base	E13.3522	"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"	37200285	ICD10CM	Condition
diabetes_01_base	E13.3523	"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"	37200286	ICD10CM	Condition
diabetes_01_base	E13.3529	"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"	37200287	ICD10CM	Condition
diabetes_01_base	E13.3531	"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"	37200289	ICD10CM	Condition
diabetes_01_base	E13.3532	"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"	37200290	ICD10CM	Condition
diabetes_01_base	E13.3533	"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"	37200291	ICD10CM	Condition
diabetes_01_base	E13.3539	"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"	37200292	ICD10CM	Condition
diabetes_01_base	E13.3541	"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"	37200294	ICD10CM	Condition
diabetes_01_base	E13.3542	"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"	37200295	ICD10CM	Condition
diabetes_01_base	E13.3543	"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"	37200296	ICD10CM	Condition
diabetes_01_base	E13.3549	"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"	37200297	ICD10CM	Condition
diabetes_01_base	E13.3551	"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye"	37200299	ICD10CM	Condition
