code_set	concept_code	concept_name	concept_id	vocabulary_id
outpatient_01	99203	"Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code se"	2414392	CPT4
outpatient_01	99205	"Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code s"	2414394	CPT4
outpatient_01	99212	"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter"	2414396	CPT4
outpatient_01	99214	"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encount"	2414398	CPT4
outpatient_01	99243	"Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 30"	2514417	CPT4
outpatient_01	99245	"Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 5"	2514419	CPT4
outpatient_01	99342	"Home or residence visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, "	2514485	CPT4
outpatient_01	99345	"Home or residence visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection,"	2514488	CPT4
outpatient_01	99348	"Home or residence visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code se"	2514490	CPT4
outpatient_01	99350	"Home or residence visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code s"	2514492	CPT4
outpatient_01	99382	"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos"	2514517	CPT4
outpatient_01	99384	"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos"	2514519	CPT4
outpatient_01	99386	"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos"	2514521	CPT4
outpatient_01	99391	"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag"	2514523	CPT4
outpatient_01	99393	"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag"	2514525	CPT4
outpatient_01	99395	"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag"	2514527	CPT4
outpatient_01	99397	"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag"	2514529	CPT4
outpatient_01	99402	Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 30 minutes	2514531	CPT4
outpatient_01	99404	Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 60 minutes	2514533	CPT4
outpatient_01	99412	Preventive medicine counseling and/or risk factor reduction intervention(s) provided to individuals in a group setting (separate procedure); approximately 60 minutes	2514539	CPT4
outpatient_01	99455	Work related or medical disability examination by the treating physician that includes: Completion of a medical history commensurate with the patient's condition; Performance of an examination commensurate with the patient's condition; Formulation of a di	2514553	CPT4
outpatient_01	99483	"Assessment of and care planning for a patient with cognitive impairment, requiring an independent historian, in the office or other outpatient, home or domiciliary or rest home, with all of the following required elements: Cognition-focused evaluation inc"	725120	CPT4
outpatient_01	99202	"Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code"	2414391	CPT4
outpatient_01	99204	"Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for co"	2414393	CPT4
outpatient_01	99211	Office or other outpatient visit for the evaluation and management of an established patient that may not require the presence of a physician or other qualified health care professional	2414395	CPT4
outpatient_01	99213	"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter fo"	2414397	CPT4
outpatient_01	99215	"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter f"	2514399	CPT4
outpatient_01	99242	"Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection,"	2514416	CPT4
outpatient_01	99244	"Office or other outpatient consultation for a new or established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selectio"	2514418	CPT4
outpatient_01	99341	"Home or residence visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selectio"	2514484	CPT4
outpatient_01	99344	"Home or residence visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code select"	2514487	CPT4
outpatient_01	99347	"Home or residence visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code"	2514489	CPT4
outpatient_01	99349	"Home or residence visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for co"	2514491	CPT4
outpatient_01	99381	"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos"	2514516	CPT4
outpatient_01	99383	"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos"	2514518	CPT4
outpatient_01	99385	"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos"	2514520	CPT4
outpatient_01	99387	"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos"	2514522	CPT4
outpatient_01	99392	"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag"	2514524	CPT4
outpatient_01	99394	"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag"	2514526	CPT4
outpatient_01	99396	"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag"	2514528	CPT4
outpatient_01	99401	Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 15 minutes	2514530	CPT4
outpatient_01	99403	Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 45 minutes	2514532	CPT4
outpatient_01	99411	Preventive medicine counseling and/or risk factor reduction intervention(s) provided to individuals in a group setting (separate procedure); approximately 30 minutes	2514538	CPT4
outpatient_01	99429	Unlisted preventive medicine service	2514541	CPT4
outpatient_01	99456	Work related or medical disability examination by other than the treating physician that includes: Completion of a medical history commensurate with the patient's condition; Performance of an examination commensurate with the patient's condition; Formulat	2514554	CPT4
outpatient_01	G0402	"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment"	2617469	HCPCS
outpatient_01	G0439	"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit"	40664425	HCPCS
outpatient_01	G0463	Hospital outpatient clinic visit for assessment and management of a patient	44786391	HCPCS
outpatient_01	T1015	"Clinic visit/encounter, all-inclusive"	2721637	HCPCS
outpatient_01	G0438	"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit"	40664424	HCPCS
outpatient_01	185464004	Out of hours visit - not night visit	4083574	SNOMED
outpatient_01	281036007	Follow-up consultation	4094043	SNOMED
outpatient_01	439740005	Postoperative follow-up visit	4235813	SNOMED
outpatient_01	77406008	Confirmatory medical consultation	4300169	SNOMED
outpatient_01	185463005	Visit out of hours	4085818	SNOMED
outpatient_01	185465003	Weekend visit	4089186	SNOMED
outpatient_01	3391000175108	Office visit for pediatric care and assessment	46270504	SNOMED
outpatient_01	444971000124105	Annual wellness visit	763701	SNOMED
outpatient_01	84251009	Comprehensive consultation	4223382	SNOMED
