code_set	concept_code	concept_name	concept_id	vocabulary_id
frailty_diagnosis_01	L89.001	"Pressure ulcer of unspecified elbow, stage 1"	45548210	ICD10CM
frailty_diagnosis_01	L89.003	"Pressure ulcer of unspecified elbow, stage 3"	45552997	ICD10CM
frailty_diagnosis_01	L89.006	Pressure-induced deep tissue damage of unspecified elbow	1553785	ICD10CM
frailty_diagnosis_01	L89.010	"Pressure ulcer of right elbow, unstageable"	45548211	ICD10CM
frailty_diagnosis_01	L89.012	"Pressure ulcer of right elbow, stage 2"	45552998	ICD10CM
frailty_diagnosis_01	L89.014	"Pressure ulcer of right elbow, stage 4"	45606002	ICD10CM
frailty_diagnosis_01	L89.019	"Pressure ulcer of right elbow, unspecified stage"	45533652	ICD10CM
frailty_diagnosis_01	L89.021	"Pressure ulcer of left elbow, stage 1"	45538590	ICD10CM
frailty_diagnosis_01	L89.023	"Pressure ulcer of left elbow, stage 3"	45562550	ICD10CM
frailty_diagnosis_01	L89.026	Pressure-induced deep tissue damage of left elbow	1553787	ICD10CM
frailty_diagnosis_01	L89.100	"Pressure ulcer of unspecified part of back, unstageable"	45601236	ICD10CM
frailty_diagnosis_01	L89.102	"Pressure ulcer of unspecified part of back, stage 2"	45548213	ICD10CM
frailty_diagnosis_01	L89.104	"Pressure ulcer of unspecified part of back, stage 4"	45543387	ICD10CM
frailty_diagnosis_01	L89.109	"Pressure ulcer of unspecified part of back, unspecified stage"	45586786	ICD10CM
frailty_diagnosis_01	L89.111	"Pressure ulcer of right upper back, stage 1"	45533655	ICD10CM
frailty_diagnosis_01	L89.113	"Pressure ulcer of right upper back, stage 3"	45577057	ICD10CM
frailty_diagnosis_01	L89.116	Pressure-induced deep tissue damage of right upper back	1553789	ICD10CM
frailty_diagnosis_01	L89.120	"Pressure ulcer of left upper back, unstageable"	45552999	ICD10CM
frailty_diagnosis_01	L89.122	"Pressure ulcer of left upper back, stage 2"	45572284	ICD10CM
frailty_diagnosis_01	L89.124	"Pressure ulcer of left upper back, stage 4"	45601237	ICD10CM
frailty_diagnosis_01	L89.129	"Pressure ulcer of left upper back, unspecified stage"	45586787	ICD10CM
frailty_diagnosis_01	L89.131	"Pressure ulcer of right lower back, stage 1"	45577059	ICD10CM
frailty_diagnosis_01	L89.133	"Pressure ulcer of right lower back, stage 3"	45548214	ICD10CM
frailty_diagnosis_01	L89.136	Pressure-induced deep tissue damage of right lower back	1553791	ICD10CM
frailty_diagnosis_01	L89.140	"Pressure ulcer of left lower back, unstageable"	45601239	ICD10CM
frailty_diagnosis_01	L89.142	"Pressure ulcer of left lower back, stage 2"	45572286	ICD10CM
frailty_diagnosis_01	L89.144	"Pressure ulcer of left lower back, stage 4"	45601240	ICD10CM
frailty_diagnosis_01	L89.149	"Pressure ulcer of left lower back, unspecified stage"	45586788	ICD10CM
frailty_diagnosis_01	L89.151	"Pressure ulcer of sacral region, stage 1"	45543390	ICD10CM
frailty_diagnosis_01	L89.153	"Pressure ulcer of sacral region, stage 3"	45572287	ICD10CM
frailty_diagnosis_01	L89.156	Pressure-induced deep tissue damage of sacral region	1553793	ICD10CM
frailty_diagnosis_01	L89.201	"Pressure ulcer of unspecified hip, stage 1"	45533656	ICD10CM
frailty_diagnosis_01	L89.203	"Pressure ulcer of unspecified hip, stage 3"	45538594	ICD10CM
frailty_diagnosis_01	L89.206	Pressure-induced deep tissue damage of unspecified hip	1553794	ICD10CM
frailty_diagnosis_01	L89.210	"Pressure ulcer of right hip, unstageable"	45543391	ICD10CM
frailty_diagnosis_01	L89.212	"Pressure ulcer of right hip, stage 2"	45538595	ICD10CM
frailty_diagnosis_01	L89.214	"Pressure ulcer of right hip, stage 4"	45591649	ICD10CM
frailty_diagnosis_01	L89.219	"Pressure ulcer of right hip, unspecified stage"	45548218	ICD10CM
frailty_diagnosis_01	L89.221	"Pressure ulcer of left hip, stage 1"	45553002	ICD10CM
frailty_diagnosis_01	L89.223	"Pressure ulcer of left hip, stage 3"	45577063	ICD10CM
frailty_diagnosis_01	L89.226	Pressure-induced deep tissue damage of left hip	1553796	ICD10CM
frailty_diagnosis_01	L89.300	"Pressure ulcer of unspecified buttock, unstageable"	45581968	ICD10CM
frailty_diagnosis_01	L89.302	"Pressure ulcer of unspecified buttock, stage 2"	45606003	ICD10CM
frailty_diagnosis_01	L89.304	"Pressure ulcer of unspecified buttock, stage 4"	45538596	ICD10CM
frailty_diagnosis_01	L89.309	"Pressure ulcer of unspecified buttock, unspecified stage"	45553003	ICD10CM
frailty_diagnosis_01	L89.311	"Pressure ulcer of right buttock, stage 1"	45591651	ICD10CM
frailty_diagnosis_01	L89.313	"Pressure ulcer of right buttock, stage 3"	45606004	ICD10CM
frailty_diagnosis_01	L89.316	Pressure-induced deep tissue damage of right buttock	1553798	ICD10CM
frailty_diagnosis_01	L89.320	"Pressure ulcer of left buttock, unstageable"	45572290	ICD10CM
frailty_diagnosis_01	L89.322	"Pressure ulcer of left buttock, stage 2"	45557719	ICD10CM
frailty_diagnosis_01	L89.324	"Pressure ulcer of left buttock, stage 4"	45601244	ICD10CM
frailty_diagnosis_01	L89.329	"Pressure ulcer of left buttock, unspecified stage"	45533657	ICD10CM
frailty_diagnosis_01	L89.41	"Pressure ulcer of contiguous site of back, buttock and hip, stage 1"	45606006	ICD10CM
frailty_diagnosis_01	L89.43	"Pressure ulcer of contiguous site of back, buttock and hip, stage 3"	45543393	ICD10CM
