code_set	concept_code	concept_name	concept_id	vocabulary_id
pregnancy_01	O09.292	"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"	45601773	ICD10CM
pregnancy_01	O10.213	"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester"	45587280	ICD10CM
pregnancy_01	O22.13	"Genital varices in pregnancy, third trimester"	45548708	ICD10CM
pregnancy_01	O24.113	"Pre-existing type 2 diabetes mellitus, in pregnancy, third trimester"	45567896	ICD10CM
pregnancy_01	O26.832	"Pregnancy related renal disease, second trimester"	45539110	ICD10CM
pregnancy_01	O29.3X1	"Toxic reaction to local anesthesia during pregnancy, first trimester"	45606557	ICD10CM
pregnancy_01	O30.123	"Triplet pregnancy with two or more monoamniotic fetuses, third trimester"	45592213	ICD10CM
pregnancy_01	O30.91	"Multiple gestation, unspecified, first trimester"	45558230	ICD10CM
pregnancy_01	O31.20X0	"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, not applicable or unspecified"	45563087	ICD10CM
pregnancy_01	O31.33X1	"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 1"	45601808	ICD10CM
pregnancy_01	O32.3XX9	"Maternal care for face, brow and chin presentation, other fetus"	45563097	ICD10CM
pregnancy_01	O33.7XX2	"Maternal care for disproportion due to other fetal deformities, fetus 2"	37200982	ICD10CM
pregnancy_01	O35.00X3	"Maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, fetus 3"	37402752	ICD10CM
pregnancy_01	O35.06X9	"Maternal care for (suspected) central nervous system malformation or damage in fetus, hydrocephaly, other fetus"	37402803	ICD10CM
pregnancy_01	O35.14X1	"Maternal care for (suspected) chromosomal abnormality in fetus, Turner Syndrome, fetus 1"	37402862	ICD10CM
pregnancy_01	O35.7XX0	"Maternal care for (suspected) damage to fetus by other medical procedures, not applicable or unspecified"	45548760	ICD10CM
pregnancy_01	O35.EXX2	"Maternal care for other (suspected) fetal abnormality and damage, fetal genitourinary anomalies, fetus 2"	37402919	ICD10CM
pregnancy_01	O36.0195	"Maternal care for anti-D [Rh] antibodies, unspecified trimester, fetus 5"	45558264	ICD10CM
pregnancy_01	O36.1911	"Maternal care for other isoimmunization, first trimester, fetus 1"	45582508	ICD10CM
pregnancy_01	O36.5111	"Maternal care for known or suspected placental insufficiency, first trimester, fetus 1"	45548771	ICD10CM
pregnancy_01	O36.5994	"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 4"	45587340	ICD10CM
pregnancy_01	O36.73X5	"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 5"	45572831	ICD10CM
pregnancy_01	O36.8324	"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 4"	1326754	ICD10CM
pregnancy_01	O36.91X3	"Maternal care for fetal problem, unspecified, first trimester, fetus 3"	45539167	ICD10CM
pregnancy_01	O41.03X2	"Oligohydramnios, third trimester, fetus 2"	45596997	ICD10CM
pregnancy_01	O41.1413	"Placentitis, first trimester, fetus 3"	45567967	ICD10CM
pregnancy_01	O41.91X1	"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 1"	45572853	ICD10CM
pregnancy_01	O43.123	"Velamentous insertion of umbilical cord, third trimester"	45563146	ICD10CM
pregnancy_01	O45.093	"Premature separation of placenta with other coagulation defect, third trimester"	45572860	ICD10CM
pregnancy_01	O91.011	"Infection of nipple associated with pregnancy, first trimester"	45539210	ICD10CM
pregnancy_01	O99.011	"Anemia complicating pregnancy, first trimester"	45568004	ICD10CM
pregnancy_01	O9A.113	"Malignant neoplasm complicating pregnancy, third trimester"	45544042	ICD10CM
pregnancy_01	O9A.119	"Malignant neoplasm complicating pregnancy, unspecified trimester"	45577679	ICD10CM
pregnancy_01	O9A.211	"Injury, poisoning and certain other consequences of external causes complicating pregnancy, first trimester"	45572913	ICD10CM
pregnancy_01	O9A.212	"Injury, poisoning and certain other consequences of external causes complicating pregnancy, second trimester"	45563202	ICD10CM
pregnancy_01	O9A.213	"Injury, poisoning and certain other consequences of external causes complicating pregnancy, third trimester"	45587402	ICD10CM
pregnancy_01	O9A.219	"Injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester"	45601912	ICD10CM
pregnancy_01	O9A.311	"Physical abuse complicating pregnancy, first trimester"	45582603	ICD10CM
pregnancy_01	O9A.312	"Physical abuse complicating pregnancy, second trimester"	45606682	ICD10CM
pregnancy_01	O9A.313	"Physical abuse complicating pregnancy, third trimester"	45592318	ICD10CM
pregnancy_01	O9A.319	"Physical abuse complicating pregnancy, unspecified trimester"	45553623	ICD10CM
pregnancy_01	O9A.411	"Sexual abuse complicating pregnancy, first trimester"	45592319	ICD10CM
pregnancy_01	O9A.412	"Sexual abuse complicating pregnancy, second trimester"	45572915	ICD10CM
pregnancy_01	O9A.413	"Sexual abuse complicating pregnancy, third trimester"	45592320	ICD10CM
pregnancy_01	O9A.419	"Sexual abuse complicating pregnancy, unspecified trimester"	45534327	ICD10CM
pregnancy_01	O9A.511	"Psychological abuse complicating pregnancy, first trimester"	45553625	ICD10CM
pregnancy_01	O9A.512	"Psychological abuse complicating pregnancy, second trimester"	45587404	ICD10CM
pregnancy_01	O9A.513	"Psychological abuse complicating pregnancy, third trimester"	45572917	ICD10CM
pregnancy_01	O9A.519	"Psychological abuse complicating pregnancy, unspecified trimester"	45544044	ICD10CM
pregnancy_01	Z32.01	"Encounter for pregnancy test, result positive"	45576146	ICD10CM
pregnancy_01	Z33.1	"Pregnant state, incidental"	45600319	ICD10CM
pregnancy_01	Z33.3	"Pregnant state, gestational carrier"	37202293	ICD10CM
pregnancy_01	Z34.00	"Encounter for supervision of normal first pregnancy, unspecified trimester"	45571343	ICD10CM
pregnancy_01	Z34.01	"Encounter for supervision of normal first pregnancy, first trimester"	45609924	ICD10CM
pregnancy_01	Z34.02	"Encounter for supervision of normal first pregnancy, second trimester"	45609925	ICD10CM
pregnancy_01	Z34.03	"Encounter for supervision of normal first pregnancy, third trimester"	45600320	ICD10CM
pregnancy_01	Z34.80	"Encounter for supervision of other normal pregnancy, unspecified trimester"	45605119	ICD10CM
pregnancy_01	Z34.81	"Encounter for supervision of other normal pregnancy, first trimester"	45600321	ICD10CM
pregnancy_01	Z34.82	"Encounter for supervision of other normal pregnancy, second trimester"	45581022	ICD10CM
pregnancy_01	Z34.83	"Encounter for supervision of other normal pregnancy, third trimester"	45542420	ICD10CM
pregnancy_01	Z34.90	"Encounter for supervision of normal pregnancy, unspecified, unspecified trimester"	45605120	ICD10CM
pregnancy_01	Z34.91	"Encounter for supervision of normal pregnancy, unspecified, first trimester"	45561624	ICD10CM
pregnancy_01	Z34.92	"Encounter for supervision of normal pregnancy, unspecified, second trimester"	45556825	ICD10CM
pregnancy_01	Z34.93	"Encounter for supervision of normal pregnancy, unspecified, third trimester"	45547304	ICD10CM
pregnancy_01	Z3A.01	Less than 8 weeks gestation of pregnancy	45600325	ICD10CM
pregnancy_01	Z3A.08	8 weeks gestation of pregnancy	45552081	ICD10CM
pregnancy_01	Z3A.09	9 weeks gestation of pregnancy	45537633	ICD10CM
pregnancy_01	Z3A.10	10 weeks gestation of pregnancy	45542425	ICD10CM
pregnancy_01	Z3A.11	11 weeks gestation of pregnancy	45595509	ICD10CM
pregnancy_01	Z3A.12	12 weeks gestation of pregnancy	45595510	ICD10CM
pregnancy_01	Z3A.13	13 weeks gestation of pregnancy	45571350	ICD10CM
pregnancy_01	Z3A.14	14 weeks gestation of pregnancy	45547308	ICD10CM
pregnancy_01	O99.012	"Anemia complicating pregnancy, second trimester"	45539222	ICD10CM
pregnancy_01	O99.013	"Anemia complicating pregnancy, third trimester"	45582591	ICD10CM
pregnancy_01	O99.019	"Anemia complicating pregnancy, unspecified trimester"	45606669	ICD10CM
pregnancy_01	O99.111	"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, first trimester"	45592311	ICD10CM
pregnancy_01	O99.112	"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester"	45577672	ICD10CM
pregnancy_01	O99.113	"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, third trimester"	45544038	ICD10CM
pregnancy_01	O99.119	"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, unspecified trimester"	45582592	ICD10CM
pregnancy_01	O99.210	"Obesity complicating pregnancy, unspecified trimester"	45553618	ICD10CM
pregnancy_01	O99.211	"Obesity complicating pregnancy, first trimester"	45577673	ICD10CM
pregnancy_01	O99.212	"Obesity complicating pregnancy, second trimester"	45606671	ICD10CM
pregnancy_01	O99.213	"Obesity complicating pregnancy, third trimester"	45568006	ICD10CM
pregnancy_01	O99.280	"Endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester"	45563196	ICD10CM
pregnancy_01	O99.281	"Endocrine, nutritional and metabolic diseases complicating pregnancy, first trimester"	45548850	ICD10CM
pregnancy_01	O99.282	"Endocrine, nutritional and metabolic diseases complicating pregnancy, second trimester"	45572903	ICD10CM
pregnancy_01	O99.283	"Endocrine, nutritional and metabolic diseases complicating pregnancy, third trimester"	45606673	ICD10CM
pregnancy_01	O99.310	"Alcohol use complicating pregnancy, unspecified trimester"	45582593	ICD10CM
pregnancy_01	O99.311	"Alcohol use complicating pregnancy, first trimester"	45592313	ICD10CM
pregnancy_01	O99.312	"Alcohol use complicating pregnancy, second trimester"	45563197	ICD10CM
pregnancy_01	O99.313	"Alcohol use complicating pregnancy, third trimester"	45548851	ICD10CM
pregnancy_01	O99.320	"Drug use complicating pregnancy, unspecified trimester"	45558348	ICD10CM
pregnancy_01	O99.321	"Drug use complicating pregnancy, first trimester"	45577674	ICD10CM
pregnancy_01	O99.322	"Drug use complicating pregnancy, second trimester"	45572904	ICD10CM
pregnancy_01	O99.323	"Drug use complicating pregnancy, third trimester"	45544039	ICD10CM
pregnancy_01	O99.330	"Smoking (tobacco) complicating pregnancy, unspecified trimester"	45577675	ICD10CM
pregnancy_01	O99.331	"Smoking (tobacco) complicating pregnancy, first trimester"	45606676	ICD10CM
pregnancy_01	O99.332	"Smoking (tobacco) complicating pregnancy, second trimester"	45568007	ICD10CM
pregnancy_01	O99.333	"Smoking (tobacco) complicating pregnancy, third trimester"	45534323	ICD10CM
pregnancy_01	O99.340	"Other mental disorders complicating pregnancy, unspecified trimester"	45572906	ICD10CM
pregnancy_01	O99.341	"Other mental disorders complicating pregnancy, first trimester"	45597053	ICD10CM
pregnancy_01	O99.342	"Other mental disorders complicating pregnancy, second trimester"	45539223	ICD10CM
pregnancy_01	O99.343	"Other mental disorders complicating pregnancy, third trimester"	45534325	ICD10CM
pregnancy_01	O99.350	"Diseases of the nervous system complicating pregnancy, unspecified trimester"	45592315	ICD10CM
pregnancy_01	O99.351	"Diseases of the nervous system complicating pregnancy, first trimester"	45587399	ICD10CM
pregnancy_01	O99.352	"Diseases of the nervous system complicating pregnancy, second trimester"	45558349	ICD10CM
pregnancy_01	O99.353	"Diseases of the nervous system complicating pregnancy, third trimester"	45577676	ICD10CM
pregnancy_01	O99.411	"Diseases of the circulatory system complicating pregnancy, first trimester"	45548853	ICD10CM
pregnancy_01	O99.412	"Diseases of the circulatory system complicating pregnancy, second trimester"	45582595	ICD10CM
pregnancy_01	O99.413	"Diseases of the circulatory system complicating pregnancy, third trimester"	45572908	ICD10CM
pregnancy_01	O99.419	"Diseases of the circulatory system complicating pregnancy, unspecified trimester"	45606678	ICD10CM
pregnancy_01	O99.511	"Diseases of the respiratory system complicating pregnancy, first trimester"	45572909	ICD10CM
pregnancy_01	O99.512	"Diseases of the respiratory system complicating pregnancy, second trimester"	45534326	ICD10CM
pregnancy_01	O99.513	"Diseases of the respiratory system complicating pregnancy, third trimester"	45587400	ICD10CM
pregnancy_01	O99.519	"Diseases of the respiratory system complicating pregnancy, unspecified trimester"	45582597	ICD10CM
pregnancy_01	O99.611	"Diseases of the digestive system complicating pregnancy, first trimester"	45601910	ICD10CM
pregnancy_01	O99.612	"Diseases of the digestive system complicating pregnancy, second trimester"	45548854	ICD10CM
pregnancy_01	O99.613	"Diseases of the digestive system complicating pregnancy, third trimester"	45606679	ICD10CM
pregnancy_01	O99.619	"Diseases of the digestive system complicating pregnancy, unspecified trimester"	45592317	ICD10CM
pregnancy_01	O99.711	"Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester"	45558350	ICD10CM
pregnancy_01	O99.712	"Diseases of the skin and subcutaneous tissue complicating pregnancy, second trimester"	45548855	ICD10CM
pregnancy_01	O99.713	"Diseases of the skin and subcutaneous tissue complicating pregnancy, third trimester"	45597055	ICD10CM
pregnancy_01	O99.719	"Diseases of the skin and subcutaneous tissue complicating pregnancy, unspecified trimester"	45553620	ICD10CM
pregnancy_01	O99.810	Abnormal glucose complicating pregnancy	45563200	ICD10CM
pregnancy_01	O99.820	Streptococcus B carrier state complicating pregnancy	45582601	ICD10CM
pregnancy_01	O99.830	Other infection carrier state complicating pregnancy	45544041	ICD10CM
pregnancy_01	O99.840	"Bariatric surgery status complicating pregnancy, unspecified trimester"	45572912	ICD10CM
pregnancy_01	O99.841	"Bariatric surgery status complicating pregnancy, first trimester"	45568009	ICD10CM
pregnancy_01	O99.842	"Bariatric surgery status complicating pregnancy, second trimester"	45539225	ICD10CM
pregnancy_01	O99.843	"Bariatric surgery status complicating pregnancy, third trimester"	45577678	ICD10CM
pregnancy_01	O9A.111	"Malignant neoplasm complicating pregnancy, first trimester"	45568010	ICD10CM
pregnancy_01	O9A.112	"Malignant neoplasm complicating pregnancy, second trimester"	45553621	ICD10CM
pregnancy_01	Z3A.15	15 weeks gestation of pregnancy	45571351	ICD10CM
pregnancy_01	Z3A.16	16 weeks gestation of pregnancy	45585825	ICD10CM
pregnancy_01	Z3A.17	17 weeks gestation of pregnancy	45556830	ICD10CM
pregnancy_01	Z3A.18	18 weeks gestation of pregnancy	45537634	ICD10CM
pregnancy_01	Z3A.19	19 weeks gestation of pregnancy	45605125	ICD10CM
pregnancy_01	Z3A.20	20 weeks gestation of pregnancy	45595511	ICD10CM
pregnancy_01	Z3A.21	21 weeks gestation of pregnancy	45600326	ICD10CM
pregnancy_01	Z3A.22	22 weeks gestation of pregnancy	45571352	ICD10CM
pregnancy_01	Z3A.23	23 weeks gestation of pregnancy	45537635	ICD10CM
pregnancy_01	Z3A.24	24 weeks gestation of pregnancy	45609932	ICD10CM
pregnancy_01	Z3A.25	25 weeks gestation of pregnancy	45542426	ICD10CM
