code_set	concept_code	concept_name	vocabulary_id	concept_id	OMOP_concept_name
mastectomy_01	0HBW0ZX	"Excision of Right Nipple, Open Approach, Diagnostic"	ICD10PCS	2751108	"Excision of Right Nipple, Open Approach, Diagnostic"
mastectomy_01	0HBW0ZZ	"Excision of Right Nipple, Open Approach"	ICD10PCS	2751109	"Excision of Right Nipple, Open Approach"
mastectomy_01	0HBW3ZX	"Excision of Right Nipple, Percutaneous Approach, Diagnostic"	ICD10PCS	2751110	"Excision of Right Nipple, Percutaneous Approach, Diagnostic"
mastectomy_01	0HBW3ZZ	"Excision of Right Nipple, Percutaneous Approach"	ICD10PCS	2751111	"Excision of Right Nipple, Percutaneous Approach"
mastectomy_01	0HBW7ZX	"Excision of Right Nipple, Via Natural or Artificial Opening, Diagnostic"	ICD10PCS	2751112	"Excision of Right Nipple, Via Natural or Artificial Opening, Diagnostic"
mastectomy_01	0HBW7ZZ	"Excision of Right Nipple, Via Natural or Artificial Opening"	ICD10PCS	2751113	"Excision of Right Nipple, Via Natural or Artificial Opening"
mastectomy_01	0HBW8ZX	"Excision of Right Nipple, Via Natural or Artificial Opening Endoscopic, Diagnostic"	ICD10PCS	2751114	"Excision of Right Nipple, Via Natural or Artificial Opening Endoscopic, Diagnostic"
mastectomy_01	0HBW8ZZ	"Excision of Right Nipple, Via Natural or Artificial Opening Endoscopic"	ICD10PCS	2751115	"Excision of Right Nipple, Via Natural or Artificial Opening Endoscopic"
mastectomy_01	0HBWXZX	"Excision of Right Nipple, External Approach, Diagnostic"	ICD10PCS	2751116	"Excision of Right Nipple, External Approach, Diagnostic"
mastectomy_01	0HBWXZZ	"Excision of Right Nipple, External Approach"	ICD10PCS	2751117	"Excision of Right Nipple, External Approach"
mastectomy_01	0HBX0ZX	"Excision of Left Nipple, Open Approach, Diagnostic"	ICD10PCS	2751118	"Excision of Left Nipple, Open Approach, Diagnostic"
mastectomy_01	0HBX0ZZ	"Excision of Left Nipple, Open Approach"	ICD10PCS	2751119	"Excision of Left Nipple, Open Approach"
mastectomy_01	0HBX3ZX	"Excision of Left Nipple, Percutaneous Approach, Diagnostic"	ICD10PCS	2751120	"Excision of Left Nipple, Percutaneous Approach, Diagnostic"
mastectomy_01	0HBX3ZZ	"Excision of Left Nipple, Percutaneous Approach"	ICD10PCS	2751121	"Excision of Left Nipple, Percutaneous Approach"
