code_set	concept_code	concept_name	vocabulary_id	concept_id	OMOP_concept_name
colectomy_01	0DTE0ZZ	"Resection of Large Intestine, Open Approach"	ICD10PCS	2753176	"Resection of Large Intestine, Open Approach"
colectomy_01	0DTE4ZZ	"Resection of Large Intestine, Percutaneous Endoscopic Approach"	ICD10PCS	2753177	"Resection of Large Intestine, Percutaneous Endoscopic Approach"
colectomy_01	0DTE7ZZ	"Resection of Large Intestine, Via Natural or Artificial Opening"	ICD10PCS	2753368	"Resection of Large Intestine, Via Natural or Artificial Opening"
colectomy_01	0DTE8ZZ	"Resection of Large Intestine, Via Natural or Artificial Opening Endoscopic"	ICD10PCS	2753369	"Resection of Large Intestine, Via Natural or Artificial Opening Endoscopic"
colectomy_01	119771000119101	History of total colectomy	SNOMED	1340204	History of event
colectomy_01	26390003	Total colectomy	SNOMED	4096461	Total colectomy
colectomy_01	303401008	"Parks panproctocolectomy, anastomosis of ileum to anus and creation of pouch"	SNOMED	4122647	"Parks panproctocolectomy, anastomosis of ileum to anus and creation of pouch"
colectomy_01	307666008	Total colectomy and ileostomy	SNOMED	4145225	Total colectomy and ileostomy
colectomy_01	307667004	"Total colectomy, ileostomy and rectal mucous fistula"	SNOMED	4146636	"Total colectomy, ileostomy and rectal mucous fistula"
colectomy_01	307669001	"Total colectomy, ileostomy and closure of rectal stump"	SNOMED	4141259	"Total colectomy, ileostomy and closure of rectal stump"
colectomy_01	31130001	Total abdominal colectomy with proctectomy and ileostomy	SNOMED	4149741	Total abdominal colectomy with proctectomy and ileostomy
colectomy_01	36192008	Total abdominal colectomy with ileoproctostomy	SNOMED	4262950	Total abdominal colectomy with ileoproctostomy
colectomy_01	44150	"Colectomy, total, abdominal, without proctectomy; with ileostomy or ileoproctostomy"	CPT4	2109048	"Colectomy, total, abdominal, without proctectomy; with ileostomy or ileoproctostomy"
colectomy_01	44151	"Colectomy, total, abdominal, without proctectomy; with continent ileostomy"	CPT4	2109049	"Colectomy, total, abdominal, without proctectomy; with continent ileostomy"
colectomy_01	44152	"Colectomy, total, abdominal, without proctectomy; with rectal mucosectomy, ileoanal anastomosis, with or without loop ileostomy (Deprecated)"	CPT4	42736542	"Colectomy, total, abdominal, without proctectomy; with rectal mucosectomy, ileoanal anastomosis, with or without loop ileostomy (Deprecated)"
colectomy_01	44153	"Colectomy, total, abdominal, without proctectomy; with rectal mucosectomy, ileoanal anastomosis, creation of ileal reservoir (S or J), with or without loop ileostomy (Deprecated)"	CPT4	42736543	"Colectomy, total, abdominal, without proctectomy; with rectal mucosectomy, ileoanal anastomosis, creation of ileal reservoir (S or J), with or without loop ileostomy (Deprecated)"
colectomy_01	44155	"Colectomy, total, abdominal, with proctectomy; with ileostomy"	CPT4	4149741	Total abdominal colectomy with proctectomy and ileostomy
colectomy_01	44156	"Colectomy, total, abdominal, with proctectomy; with continent ileostomy"	CPT4	4260388	Total abdominal colectomy with proctectomy and continent ileostomy
colectomy_01	44157	"Colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, includes loop ileostomy, and rectal mucosectomy, when performed"	CPT4	2109054	"Colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, includes loop ileostomy, and rectal mucosectomy, when performed"
colectomy_01	44158	"Colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, creation of ileal reservoir (S or J), includes loop ileostomy, and rectal mucosectomy, when performed"	CPT4	2109055	"Colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, creation of ileal reservoir (S or J), includes loop ileostomy, and rectal mucosectomy, when performed"
colectomy_01	44210	"Laparoscopy, surgical; colectomy, total, abdominal, without proctectomy, with ileostomy or ileoproctostomy"	CPT4	2109071	"Laparoscopy, surgical; colectomy, total, abdominal, without proctectomy, with ileostomy or ileoproctostomy"
