code_set	concept_code	concept_name	vocabulary_id	concept_id
colonoscopy_01_base	1209098000	Fiberoptic colonoscopy with biopsy of lesion of colon (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	12350003	Colonoscopy with rigid sigmoidoscope through colotomy (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	174158000	Open colonoscopy (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	174185007	Diagnostic fiberoptic endoscopic examination of colon and biopsy of lesion of colon (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	235150006	Total colonoscopy (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	235151005	Limited colonoscopy (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	25732003	Fiberoptic colonoscopy with biopsy (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	275251008	Diagnostic endoscopic examination of colon using fiberoptic sigmoidoscope (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	302052009	Endoscopic biopsy of lesion of colon (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	34264006	Intraoperative colonoscopy (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	367535003	Fiberoptic colonoscopy (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	44388	"Colonoscopy through stoma; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"	CPT	NULL
colonoscopy_01_base	44389	"Colonoscopy through stoma; with biopsy, single or multiple"	CPT	NULL
colonoscopy_01_base	44390	Colonoscopy through stoma; with removal of foreign body(s)	CPT	NULL
colonoscopy_01_base	44391	"Colonoscopy through stoma; with control of bleeding, any method"	CPT	NULL
colonoscopy_01_base	44392	"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps"	CPT	NULL
colonoscopy_01_base	44393	"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"	CPT	NULL
colonoscopy_01_base	44394	"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"	CPT	NULL
colonoscopy_01_base	44397	Colonoscopy through stoma; with transendoscopic stent placement (includes predilation)	CPT	NULL
colonoscopy_01_base	443998000	Colonoscopy through colostomy with endoscopic biopsy of colon (procedure)	SNOMEDCT	NULL
colonoscopy_01_base	44401	"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) (includes pre-and post-dilation and guide wire passage, when performed)"	CPT	NULL
colonoscopy_01_base	44402	"Colonoscopy through stoma; with endoscopic stent placement (including pre- and post-dilation and guide wire passage, when performed)"	CPT	NULL
colonoscopy_01_base	44403	Colonoscopy through stoma; with endoscopic mucosal resection	CPT	NULL
colonoscopy_01_base	44404	"Colonoscopy through stoma; with directed submucosal injection(s), any substance"	CPT	NULL
