code_set	concept_code	concept_name	vocabulary_id	concept_id	OMOP_concept_name
colonoscopy_01	1209098000	Fiberoptic colonoscopy with biopsy of lesion of colon	SNOMED	37163368	Fiberoptic colonoscopy with biopsy of lesion of colon
colonoscopy_01	12350003	Colonoscopy with rigid sigmoidoscope through colotomy	SNOMED	4047950	Colonoscopy with rigid sigmoidoscope through colotomy
colonoscopy_01	174158000	Open colonoscopy	SNOMED	4017732	Open colonoscopy
colonoscopy_01	174185007	Diagnostic fiberoptic endoscopic examination of colon and biopsy of lesion of colon	SNOMED	4201706	Endoscopic biopsy of lesion of colon
colonoscopy_01	235150006	Total colonoscopy	SNOMED	4124527	Total colonoscopy
colonoscopy_01	235151005	Limited colonoscopy	SNOMED	4124528	Limited colonoscopy
colonoscopy_01	25732003	Fiberoptic colonoscopy with biopsy	SNOMED	40489328	Colonoscopy and biopsy of colon
colonoscopy_01	275251008	Diagnostic endoscopic examination of colon using fiberoptic sigmoidoscope	SNOMED	4196378	Flexible fiberoptic sigmoidoscopy
colonoscopy_01	302052009	Endoscopic biopsy of lesion of colon	SNOMED	4201706	Endoscopic biopsy of lesion of colon
colonoscopy_01	34264006	Intraoperative colonoscopy	SNOMED	4145298	Intraoperative colonoscopy
colonoscopy_01	367535003	Fiberoptic colonoscopy	SNOMED	4249893	Colonoscopy
colonoscopy_01	44388	"Colonoscopy through stoma; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"	CPT4	2109107	"Colonoscopy through stoma; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"
colonoscopy_01	44389	"Colonoscopy through stoma; with biopsy, single or multiple"	CPT4	2109108	"Colonoscopy through stoma; with biopsy, single or multiple"
colonoscopy_01	44390	Colonoscopy through stoma; with removal of foreign body(s)	CPT4	2109109	Colonoscopy through stoma; with removal of foreign body(s)
colonoscopy_01	44391	"Colonoscopy through stoma; with control of bleeding, any method"	CPT4	2109110	"Colonoscopy through stoma; with control of bleeding, any method"
colonoscopy_01	44392	"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps"	CPT4	2109111	"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps"
colonoscopy_01	44393	"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"	CPT4	2109112	"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"
colonoscopy_01	44394	"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"	CPT4	2109113	"Colonoscopy through stoma; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"
colonoscopy_01	44397	Colonoscopy through stoma; with transendoscopic stent placement (includes predilation)	CPT4	2109114	Colonoscopy through stoma; with transendoscopic stent placement (includes predilation)
colonoscopy_01	443998000	Colonoscopy through colostomy with endoscopic biopsy of colon	SNOMED	40484563	Colonoscopy through colostomy with endoscopic biopsy of colon
colonoscopy_01	44401	"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) (includes pre-and post-dilation and guide wire passage, when performed)"	CPT4	46257448	"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) (includes pre-and post-dilation and guide wire passage, when performed)"
colonoscopy_01	44402	"Colonoscopy through stoma; with endoscopic stent placement (including pre- and post-dilation and guide wire passage, when performed)"	CPT4	46257545	"Colonoscopy through stoma; with endoscopic stent placement (including pre- and post-dilation and guide wire passage, when performed)"
colonoscopy_01	44403	Colonoscopy through stoma; with endoscopic mucosal resection	CPT4	46257705	Colonoscopy through stoma; with endoscopic mucosal resection
colonoscopy_01	44404	"Colonoscopy through stoma; with directed submucosal injection(s), any substance"	CPT4	46257449	"Colonoscopy through stoma; with directed submucosal injection(s), any substance"
colonoscopy_01	44405	Colonoscopy through stoma; with transendoscopic balloon dilation	CPT4	46257755	Colonoscopy through stoma; with transendoscopic balloon dilation
colonoscopy_01	44406	"Colonoscopy through stoma; with endoscopic ultrasound examination, limited to the sigmoid, descending, transverse, or ascending colon and cecum and adjacent structures"	CPT4	46257756	"Colonoscopy through stoma; with endoscopic ultrasound examination, limited to the sigmoid, descending, transverse, or ascending colon and cecum and adjacent structures"
colonoscopy_01	44407	"Colonoscopy through stoma; with transendoscopic ultrasound guided intramural or transmural fine needle aspiration/biopsy(s), includes endoscopic ultrasound examination limited to the sigmoid, descending, transverse, or ascending colon and cecum and adjace"	CPT4	46257546	"Colonoscopy through stoma; with transendoscopic ultrasound guided intramural or transmural fine needle aspiration/biopsy(s), includes endoscopic ultrasound examination limited to the sigmoid, descending, transverse, or ascending colon and cecum and adjace"
colonoscopy_01	44408	"Colonoscopy through stoma; with decompression (for pathologic distention) (eg, volvulus, megacolon), including placement of decompression tube, when performed"	CPT4	46257401	"Colonoscopy through stoma; with decompression (for pathologic distention) (eg, volvulus, megacolon), including placement of decompression tube, when performed"
colonoscopy_01	444783004	Screening colonoscopy	SNOMED	40480729	Screening colonoscopy
colonoscopy_01	446521004	Colonoscopy and excision of mucosa of colon	SNOMED	40488297	Colonoscopy and excision of mucosa of colon
colonoscopy_01	446745002	Colonoscopy and biopsy of colon	SNOMED	40489328	Colonoscopy and biopsy of colon
colonoscopy_01	447021001	Colonoscopy and tattooing	SNOMED	40490832	Colonoscopy and tattooing
colonoscopy_01	45355	"Colonoscopy, rigid or flexible, transabdominal via colotomy, single or multiple"	CPT4	2109193	"Colonoscopy, rigid or flexible, transabdominal via colotomy, single or multiple"
colonoscopy_01	45378	"Colonoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"	CPT4	2109194	"Colonoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"
colonoscopy_01	45379	"Colonoscopy, flexible; with removal of foreign body(s)"	CPT4	2109195	"Colonoscopy, flexible; with removal of foreign body(s)"
colonoscopy_01	45380	"Colonoscopy, flexible; with biopsy, single or multiple"	CPT4	2109196	"Colonoscopy, flexible; with biopsy, single or multiple"
colonoscopy_01	45381	"Colonoscopy, flexible; with directed submucosal injection(s), any substance"	CPT4	2109197	"Colonoscopy, flexible; with directed submucosal injection(s), any substance"
colonoscopy_01	45382	"Colonoscopy, flexible; with control of bleeding, any method"	CPT4	2109198	"Colonoscopy, flexible; with control of bleeding, any method"
colonoscopy_01	45383	"Colonoscopy, flexible, proximal to splenic flexure; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"	CPT4	2109199	"Colonoscopy, flexible, proximal to splenic flexure; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"
colonoscopy_01	45384	"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps"	CPT4	2109200	"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps"
colonoscopy_01	45385	"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"	CPT4	2109201	"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique"
colonoscopy_01	45386	"Colonoscopy, flexible; with transendoscopic balloon dilation"	CPT4	2109202	"Colonoscopy, flexible; with transendoscopic balloon dilation"
colonoscopy_01	45387	"Colonoscopy, flexible, proximal to splenic flexure; with transendoscopic stent placement (includes predilation)"	CPT4	2109203	"Colonoscopy, flexible, proximal to splenic flexure; with transendoscopic stent placement (includes predilation)"
colonoscopy_01	45388	"Colonoscopy, flexible; with ablation of tumor(s), polyp(s), or other lesion(s) (includes pre- and post-dilation and guide wire passage, when performed)"	CPT4	46257514	"Colonoscopy, flexible; with ablation of tumor(s), polyp(s), or other lesion(s) (includes pre- and post-dilation and guide wire passage, when performed)"
colonoscopy_01	45389	"Colonoscopy, flexible; with endoscopic stent placement (includes pre- and post-dilation and guide wire passage, when performed)"	CPT4	46257515	"Colonoscopy, flexible; with endoscopic stent placement (includes pre- and post-dilation and guide wire passage, when performed)"
colonoscopy_01	45390	"Colonoscopy, flexible; with endoscopic mucosal resection"	CPT4	46257516	"Colonoscopy, flexible; with endoscopic mucosal resection"
colonoscopy_01	45391	"Colonoscopy, flexible; with endoscopic ultrasound examination limited to the rectum, sigmoid, descending, transverse, or ascending colon and cecum, and adjacent structures"	CPT4	2109204	"Colonoscopy, flexible; with endoscopic ultrasound examination limited to the rectum, sigmoid, descending, transverse, or ascending colon and cecum, and adjacent structures"
colonoscopy_01	45392	"Colonoscopy, flexible; with transendoscopic ultrasound guided intramural or transmural fine needle aspiration/biopsy(s), includes endoscopic ultrasound examination limited to the rectum, sigmoid, descending, transverse, or ascending colon and cecum, and a"	CPT4	2109205	"Colonoscopy, flexible; with transendoscopic ultrasound guided intramural or transmural fine needle aspiration/biopsy(s), includes endoscopic ultrasound examination limited to the rectum, sigmoid, descending, transverse, or ascending colon and cecum, and a"
colonoscopy_01	45393	"Colonoscopy, flexible; with decompression (for pathologic distention) (eg, volvulus, megacolon), including placement of decompression tube, when performed"	CPT4	46257517	"Colonoscopy, flexible; with decompression (for pathologic distention) (eg, volvulus, megacolon), including placement of decompression tube, when performed"
colonoscopy_01	45398	"Colonoscopy, flexible; with band ligation(s) (eg, hemorrhoids)"	CPT4	46257518	"Colonoscopy, flexible; with band ligation(s) (eg, hemorrhoids)"
colonoscopy_01	709421007	Colonoscopy and dilation of stricture of colon	SNOMED	46271320	Colonoscopy and dilation of stricture of colon
colonoscopy_01	710293001	Fluoroscopy guided colonoscopy	SNOMED	46272000	Fluoroscopy guided colonoscopy
colonoscopy_01	711307001	Colonoscopy using X-ray guidance	SNOMED	46272868	Colonoscopy using X-ray guidance
colonoscopy_01	713154003	Endoscopic submucosal dissection of rectum using colonoscope	SNOMED	37016984	Endoscopic submucosal dissection of rectum using colonoscope
colonoscopy_01	73761001	Colonoscopy	SNOMED	4249893	Colonoscopy
colonoscopy_01	8180007	Fiberoptic colonoscopy through colostomy	SNOMED	4305184	Fiberoptic colonoscopy through colostomy
colonoscopy_01	851000119109	History of colonoscopy	SNOMED	1340204	History of event
colonoscopy_01	G0105	Colorectal cancer screening; colonoscopy on individual at high risk	HCPCS	40480729	Screening colonoscopy
colonoscopy_01	G0121	Colorectal cancer screening; colonoscopy on individual not meeting criteria for high risk	HCPCS	40480729	Screening colonoscopy
